comboId,req1Id,req1,req_1,req2Id,req2,req_2,Label,AnnotationStatus
45632,115041,support %u in mailcap helpers,support  u in mailcap helpers,1543121,Add buttons for toggling FxA message,add buttons for toggling fxa message,0,M
44506,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1362569,1.21ms uninterruptible reflow at _lockTabSizing@chrome://browser/content/tabbrowser.xml:6073:17,1 21ms uninterruptible reflow at  locktabsizing chrome   browser content tabbrowser xml 6073 17,0,M
6898,115041,support %u in mailcap helpers,support  u in mailcap helpers,1482484,Too many pinned links causes RangeError: invalid array length,too many pinned links causes rangeerror  invalid array length,0,M
25237,106074,Helper App Management,helper app management,1547062,Telemetry and branch generation for trailhead first run,telemetry and branch generation for trailhead first run,0,M
43018,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1454745,Skeletal bootstrap process,skeletal bootstrap process,0,M
20763,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1514352,"Add ""hidden focus"" functionality to URLbar",add  hidden focus  functionality to urlbar,0,M
7095,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1570403,Add frequency caps for Moments pages,add frequency caps for moments pages,0,M
3127,106074,Helper App Management,helper app management,1530809,LaunchUnelevated should use ProcessRuntime to start COM instaed of STARegion,launchunelevated should use processruntime to start com instaed of staregion,0,M
3506,115041,support %u in mailcap helpers,support  u in mailcap helpers,1382179,[pocket website/service issue] Update pocket list intro text and icon on their website, pocket website service issue  update pocket list intro text and icon on their website,0,M
31202,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1433047,[meta] Create the tab-modal Payment Request widget, meta  create the tab modal payment request widget,0,M
6577,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1492088,Add ASR Snippets Send to device Template,add asr snippets send to device template,0,M
42515,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,853678,"Create an easy way to ""Undo"" a Reset",create an easy way to  undo  a reset,0,M
15739,106074,Helper App Management,helper app management,1410898,"Add automated test for ""Import Data from Chrome""",add automated test for  import data from chrome ,0,M
56267,297643,Context menu option to open link/image using an external application,context menu option to open link image using an external application,674371,Support double-tap to zoom in on a section on macOS,support double tap to zoom in on a section on macos,0,M
41915,106074,Helper App Management,helper app management,1520362,Improve vendoring of Node dependencies used by Normandy client,improve vendoring of node dependencies used by normandy client,0,M
43658,297643,Context menu option to open link/image using an external application,context menu option to open link image using an external application,1360054,"[UX] Need spec for the page-action menu's ""Share"" submenu/subview/subpanel", ux  need spec for the page action menu s  share  submenu subview subpanel,0,M
30977,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,648683,Expose tabs on-demand preference,expose tabs on demand preference,0,M
13891,142179,"Cookie Manager: sort ""Cookie Sites"" should sort by Domain (TLD -> left, as labels, not strings, etc.)",cookie manager  sort  cookie sites  should sort by domain  tld    left  as labels  not strings  etc  ,667357,Add an item in preferences window to allow user to decide to prevent autoplay for video/audio content,add an item in preferences window to allow user to decide to prevent autoplay for video audio content,0,M
13699,106074,Helper App Management,helper app management,995794,Acquire stub installer usage metrics (reinstall),acquire stub installer usage metrics  reinstall ,0,M
53212,106074,Helper App Management,helper app management,1396562,Convert uses of browser.search.widget.inNavBar to use CustomizableUI,convert uses of browser search widget innavbar to use customizableui,0,M
49716,191000,[RFE] allow users to override mime type for gz and other suffixes, rfe  allow users to override mime type for gz and other suffixes,1387557,Download progressbar should use fatter bar when downloading,download progressbar should use fatter bar when downloading,0,M
29038,106074,Helper App Management,helper app management,369901,"No AppleScript way to get browser window tab URLs, titles",no applescript way to get browser window tab urls  titles,0,M
620,106074,Helper App Management,helper app management,1382514,Remove MOZ_PHOTON_PREFERENCES build flag which introduces in bug 1380585,remove moz photon preferences build flag which introduces in bug 1380585,0,M
27090,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1500489,Translate fallback string in ASR Snippets,translate fallback string in asr snippets,0,M
19223,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1557058,use real data for protection report graph,use real data for protection report graph,0,M
8495,297643,Context menu option to open link/image using an external application,context menu option to open link image using an external application,1521538,Update license for Reselect in Activity Stream,update license for reselect in activity stream,0,M
19776,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1380966,Increase the size of the tab overflow indicator,increase the size of the tab overflow indicator,0,M
48760,106074,Helper App Management,helper app management,1522993,Card grid and list bottom align source text,card grid and list bottom align source text,0,M
24725,106074,Helper App Management,helper app management,1356684,Add test for ToolbarIconColor to check window activation/deactivation doesnt cause a sync style flush,add test for toolbariconcolor to check window activation deactivation doesnt cause a sync style flush,0,M
13745,115041,support %u in mailcap helpers,support  u in mailcap helpers,1492475,Dont block async init of nsSearchService on region fetch,dont block async init of nssearchservice on region fetch,0,M
24845,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1472910,"In a multiselect context, close other tabs should close all except the multi-selected tabs.",in a multiselect context  close other tabs should close all except the multi selected tabs ,0,M
47784,191000,[RFE] allow users to override mime type for gz and other suffixes, rfe  allow users to override mime type for gz and other suffixes,125216,FilePicker doesn't support defining a filter via a MIME type,filepicker doesn t support defining a filter via a mime type,0,M
21638,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1442296,Adapt input and button styling inside popups to look better with themes,adapt input and button styling inside popups to look better with themes,0,M
36529,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1538804,Update targeting for CFR Pinned tabs to include more locales and TLDs,update targeting for cfr pinned tabs to include more locales and tlds,0,M
10626,115041,support %u in mailcap helpers,support  u in mailcap helpers,486262,Provide visual indicator as to which tab is causing sound,provide visual indicator as to which tab is causing sound,0,M
45313,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,46407,The current URL cannot be querried by another app,the current url cannot be querried by another app,0,M
7134,106074,Helper App Management,helper app management,1017919,Reset Firefox: Preserve extensions but disable all of them,reset firefox  preserve extensions but disable all of them,0,M
38607,106074,Helper App Management,helper app management,1484035,Document/get review on targeting required for CFR,document get review on targeting required for cfr,0,M
42143,106074,Helper App Management,helper app management,1355390,[UX] Need spec for rectangular tabs, ux  need spec for rectangular tabs,0,M
50688,115041,support %u in mailcap helpers,support  u in mailcap helpers,1414930,Remove the contentViewerEdit property from tabbrowser and browser bindings,remove the contentvieweredit property from tabbrowser and browser bindings,0,M
20642,115041,support %u in mailcap helpers,support  u in mailcap helpers,1478750,Add test coverage for closing one payment dialog and completing payment from another,add test coverage for closing one payment dialog and completing payment from another,0,M
24875,115041,support %u in mailcap helpers,support  u in mailcap helpers,1533359,Targeting support for any subdomain,targeting support for any subdomain,0,M
28422,106074,Helper App Management,helper app management,1360282,Remove the panel that opens when clicking on the sidebar toolbar button,remove the panel that opens when clicking on the sidebar toolbar button,0,M
4340,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1574082,Add a bit more labeling and description linkage for screen reader users,add a bit more labeling and description linkage for screen reader users,0,M
46738,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1407927,The 'star drop' animation should be applied to the 'bookmarks menu button' instead of or in addition to the 'library button' if 'bookmarks menu button' is added to the toolbar,the  star drop  animation should be applied to the  bookmarks menu button  instead of or in addition to the  library button  if  bookmarks menu button  is added to the toolbar,0,M
35908,106074,Helper App Management,helper app management,1365133,Updated Preferences re-org according to proposal from May 11th,updated preferences re org according to proposal from may 11th,0,M
272,106074,Helper App Management,helper app management,1504062,dom/html/test/test_fullscreen_api.html frequently times out on linux opt/pgo after bug 1362774,dom html test test fullscreen api html frequently times out on linux opt pgo after bug 1362774,0,M
33520,106074,Helper App Management,helper app management,1478462,Make it easier to change the conditions checked for the cookie restrictions feature,make it easier to change the conditions checked for the cookie restrictions feature,0,M
39896,106074,Helper App Management,helper app management,1372309,Flip photon structure pref on nightly to get automated test coverage as well as nightly visibility / user testing exposure,flip photon structure pref on nightly to get automated test coverage as well as nightly visibility   user testing exposure,0,M
22256,106074,Helper App Management,helper app management,1500489,Translate fallback string in ASR Snippets,translate fallback string in asr snippets,0,M
25180,106074,Helper App Management,helper app management,1410828,"Add automated test for ""Hover and `Dismiss` Top Sites tile""",add automated test for  hover and  dismiss  top sites tile ,0,M
26340,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1371230,Stop using the :not(:target) selector in notification-icons.svg,stop using the  not  target  selector in notification icons svg,0,M
28646,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1371294,Add some tests for the follow-on search add-on in mozilla-central,add some tests for the follow on search add on in mozilla central,0,M
1353,115041,support %u in mailcap helpers,support  u in mailcap helpers,1499648,Make search alias (@ token alias) formatting work with UrlbarView,make search alias    token alias  formatting work with urlbarview,0,M
34201,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1472212,Set browser.tabs.remote.separatePrivilegedContentProcess to true by default in Nightly,set browser tabs remote separateprivilegedcontentprocess to true by default in nightly,0,M
11037,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,939528,Browse windows and tabs in AppleScript,browse windows and tabs in applescript,0,M
2295,191000,[RFE] allow users to override mime type for gz and other suffixes, rfe  allow users to override mime type for gz and other suffixes,1505411,Add basic monitoring for SERP pages with ads / SERP ad clicks,add basic monitoring for serp pages with ads   serp ad clicks,0,M
19547,297643,Context menu option to open link/image using an external application,context menu option to open link image using an external application,1482115,After version upgrade clear Snippets cache and refetch snippets,after version upgrade clear snippets cache and refetch snippets,0,M
53077,106074,Helper App Management,helper app management,1483041,Add snippets targeting for unique domains count,add snippets targeting for unique domains count,0,M
15803,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1455310,"macOS ""Share"" > ""Reminders"" missing a link to the current page",macos  share     reminders  missing a link to the current page,0,M
47651,142179,"Cookie Manager: sort ""Cookie Sites"" should sort by Domain (TLD -> left, as labels, not strings, etc.)",cookie manager  sort  cookie sites  should sort by domain  tld    left  as labels  not strings  etc  ,1454745,Skeletal bootstrap process,skeletal bootstrap process,0,M
16829,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1471350,"Add ""Top Frecent Sites"" to AS Router targeting",add  top frecent sites  to as router targeting,0,M
20779,115041,support %u in mailcap helpers,support  u in mailcap helpers,1486824,Make BrowserTestUtils.openNewBrowserWindow() delegate to window.OpenBrowserWindow,make browsertestutils opennewbrowserwindow   delegate to window openbrowserwindow,0,M
13319,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1409054,Properly get rid of old about:home,properly get rid of old about home,0,M
5444,106074,Helper App Management,helper app management,1512325,Turn on ASR snippets in beta,turn on asr snippets in beta,0,M
50103,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1453540,Migrate the remaining DTD entries to FTL,migrate the remaining dtd entries to ftl,0,M
31175,106074,Helper App Management,helper app management,1464126,Implement the rest of simple_snippet template variables in AS Router,implement the rest of simple snippet template variables in as router,0,M
25808,297643,Context menu option to open link/image using an external application,context menu option to open link image using an external application,1487456,Pocket personalization V2: convert objects to maps,pocket personalization v2  convert objects to maps,0,M
20299,106074,Helper App Management,helper app management,1514006,Implement telemetry for pocket + newtab,implement telemetry for pocket   newtab,0,M
10253,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1493628,BrowserWindowTracker assumes Browser:Init messages only ever come from foreground windows,browserwindowtracker assumes browser init messages only ever come from foreground windows,0,M
34191,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1504062,dom/html/test/test_fullscreen_api.html frequently times out on linux opt/pgo after bug 1362774,dom html test test fullscreen api html frequently times out on linux opt pgo after bug 1362774,0,M
8352,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1433177,[Meta] New bookmark sync, meta  new bookmark sync,0,M
16765,297643,Context menu option to open link/image using an external application,context menu option to open link image using an external application,1555390,Turn off prerendering in AboutNewTabService.jsm,turn off prerendering in aboutnewtabservice jsm,0,M
21231,142179,"Cookie Manager: sort ""Cookie Sites"" should sort by Domain (TLD -> left, as labels, not strings, etc.)",cookie manager  sort  cookie sites  should sort by domain  tld    left  as labels  not strings  etc  ,1482125,Add internal aliases for common search plugins,add internal aliases for common search plugins,0,M
24834,106074,Helper App Management,helper app management,1361294,"show ""import from other browser"" link on Activity Stream",show  import from other browser  link on activity stream,0,M
47277,106074,Helper App Management,helper app management,1524218,Move some more tests to run with QuantumBar,move some more tests to run with quantumbar,0,M
40306,106074,Helper App Management,helper app management,1534996,Consider replacing pinned tab animation gif with svgs,consider replacing pinned tab animation gif with svgs,0,M
53,106074,Helper App Management,helper app management,1466971,"Add Blob images, Jexl targets and bug fixes to Activity Stream",add blob images  jexl targets and bug fixes to activity stream,0,M
27408,142179,"Cookie Manager: sort ""Cookie Sites"" should sort by Domain (TLD -> left, as labels, not strings, etc.)",cookie manager  sort  cookie sites  should sort by domain  tld    left  as labels  not strings  etc  ,1415014,Move mozicon128.png from browser/icons to browser/chrome/icons/default,move mozicon128 png from browser icons to browser chrome icons default,0,M
36613,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1502731,Remove @hudButton@ and @hudButtonPressed@ and improve bookmark panel styling,remove  hudbutton  and  hudbuttonpressed  and improve bookmark panel styling,0,M
21154,115041,support %u in mailcap helpers,support  u in mailcap helpers,1452388,PageThumbs spends an appreciable amount of time on the main thread,pagethumbs spends an appreciable amount of time on the main thread,0,M
15069,106074,Helper App Management,helper app management,1550861,Trailhead final uplift,trailhead final uplift,0,M
52066,106074,Helper App Management,helper app management,1483968,Add snippets targeting if user has clicked any Pocket-related links on AS page,add snippets targeting if user has clicked any pocket related links on as page,0,M
12186,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,462674,"autocomplete for all existing about: URIs after typing ""about:""",autocomplete for all existing about  uris after typing  about  ,0,M
14510,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1512650,Allow overriding actions like Switch to tab,allow overriding actions like switch to tab,0,M
10168,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1557494,Domain affinity lists can be edited by ad operations,domain affinity lists can be edited by ad operations,0,M
51728,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1517486,[meta][phase-1] Switch builtin search engines to WebExtensions, meta  phase 1  switch builtin search engines to webextensions,0,M
38886,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1552773,Show Content Blocking dropdowns label even when in disabled state,show content blocking dropdowns label even when in disabled state,0,M
25918,106074,Helper App Management,helper app management,1458066,Implement ability to move a selection of tabs within the same window through drag and drop,implement ability to move a selection of tabs within the same window through drag and drop,0,M
33109,106074,Helper App Management,helper app management,1569696,CFR: recommend send tab on popular recipe sites,cfr  recommend send tab on popular recipe sites,0,M
51852,106074,Helper App Management,helper app management,1421737,Include cookies in the site data manager,include cookies in the site data manager,0,M
16827,142179,"Cookie Manager: sort ""Cookie Sites"" should sort by Domain (TLD -> left, as labels, not strings, etc.)",cookie manager  sort  cookie sites  should sort by domain  tld    left  as labels  not strings  etc  ,1369291,add l10n support for onboarding overlay,add l10n support for onboarding overlay,0,M
26548,115041,support %u in mailcap helpers,support  u in mailcap helpers,1435882,Handle keyboard shortcuts (e.g. ESC) & focus in the Payment Request tab overlay widget,handle keyboard shortcuts  e g  esc    focus in the payment request tab overlay widget,0,M
31358,106074,Helper App Management,helper app management,1355324,Create sidebar header switcher,create sidebar header switcher,0,M
30767,191000,[RFE] allow users to override mime type for gz and other suffixes, rfe  allow users to override mime type for gz and other suffixes,1386005,Make bookmarks toolbar items blend in better in the overflow panel,make bookmarks toolbar items blend in better in the overflow panel,0,M
33872,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1537736,Use HomePage.get()/set() more consistently,use homepage get   set   more consistently,0,M
51422,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1528978,Use content pref service to persist warned hosts,use content pref service to persist warned hosts,0,M
21169,191000,[RFE] allow users to override mime type for gz and other suffixes, rfe  allow users to override mime type for gz and other suffixes,1354697,Creating funnelcake builds for Tour Overlay,creating funnelcake builds for tour overlay,0,M
40449,115041,support %u in mailcap helpers,support  u in mailcap helpers,1549802,Update card button actions with final finalized urls or actions,update card button actions with final finalized urls or actions,0,M
15778,106074,Helper App Management,helper app management,1535448,[Accessibility] In Pocket New Tab handle focus state while navigating with keyboard, accessibility  in pocket new tab handle focus state while navigating with keyboard,0,M
22647,106074,Helper App Management,helper app management,411725,Modify theme for keyhole shaped back/forward buttons on Windows,modify theme for keyhole shaped back forward buttons on windows,0,M
49498,106074,Helper App Management,helper app management,1402690,Recent Highlights in library menu should respect the option for disabling the highlights,recent highlights in library menu should respect the option for disabling the highlights,0,M
4171,115041,support %u in mailcap helpers,support  u in mailcap helpers,1518866,Land strings for new UI for Private Browsing with Search,land strings for new ui for private browsing with search,0,M
42743,106074,Helper App Management,helper app management,1399599,Disable speculative connections from the Address Bar in 56,disable speculative connections from the address bar in 56,0,M
12449,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,248715,Avoid shifting the page when toolbars appear or disappear,avoid shifting the page when toolbars appear or disappear,0,M
10595,106074,Helper App Management,helper app management,1518921,Discovery Stream Spocs,discovery stream spocs,0,M
1477,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1492712,Security design of dweb APIs,security design of dweb apis,0,M
15873,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1446164,Use Fluent in autofill edit dialogs so they can be localized when used in the unprivileged PaymentRequest dialog,use fluent in autofill edit dialogs so they can be localized when used in the unprivileged paymentrequest dialog,0,M
2495,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1520890,Spocs need to use v1 personaliation at the least,spocs need to use v1 personaliation at the least,0,M
31512,106074,Helper App Management,helper app management,1348816,Session store updates (inefficiently) - 1 observer per tab - when users select a different page style,session store updates  inefficiently    1 observer per tab   when users select a different page style,0,M
29410,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,763890,Add all the old profiles to the same folder when resetting Firefox multiple times,add all the old profiles to the same folder when resetting firefox multiple times,0,M
16904,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1575360,Add shadow effect to megabar when it's open,add shadow effect to megabar when it s open,0,M
15376,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1374477,"Photon API for adding, removing, and moving page actions",photon api for adding  removing  and moving page actions,0,M
7250,106074,Helper App Management,helper app management,1375687,"Add ""Subscribe"" to page actions",add  subscribe  to page actions,0,M
23415,191000,[RFE] allow users to override mime type for gz and other suffixes, rfe  allow users to override mime type for gz and other suffixes,1369539,FxAccounts modules loaded too early at startup,fxaccounts modules loaded too early at startup,0,M
38968,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1500445,Add compatibility tests for 57 snippets,add compatibility tests for 57 snippets,0,M
11275,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1546898,Add a Bookmarking FxA local provider for testing,add a bookmarking fxa local provider for testing,0,M
39857,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1360054,"[UX] Need spec for the page-action menu's ""Share"" submenu/subview/subpanel", ux  need spec for the page action menu s  share  submenu subview subpanel,0,M
644,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1481704,FX_TAB_SWITCH_TOTAL_E10S_MS doesn't include time to composite the new tab.,fx tab switch total e10s ms doesn t include time to composite the new tab ,0,M
45737,106074,Helper App Management,helper app management,1358394,Crash report-enabling checkbox should be grouped under the Reports group,crash report enabling checkbox should be grouped under the reports group,0,M
44382,106074,Helper App Management,helper app management,1423137,"Add automated test for ""Bookmarks can be removed from the Library""",add automated test for  bookmarks can be removed from the library ,0,M
6082,191000,[RFE] allow users to override mime type for gz and other suffixes, rfe  allow users to override mime type for gz and other suffixes,1420761,Handle new localization API in Preferences Search,handle new localization api in preferences search,0,M
23341,106074,Helper App Management,helper app management,1474704,Enable the multiselect tabs feature by default on Nightly builds,enable the multiselect tabs feature by default on nightly builds,0,M
24828,142179,"Cookie Manager: sort ""Cookie Sites"" should sort by Domain (TLD -> left, as labels, not strings, etc.)",cookie manager  sort  cookie sites  should sort by domain  tld    left  as labels  not strings  etc  ,1496476,"""uncaught exception: Unrecognized urlbar event: TabSelect"" when opening a tab", uncaught exception  unrecognized urlbar event  tabselect  when opening a tab,0,M
37881,115041,support %u in mailcap helpers,support  u in mailcap helpers,1520362,Improve vendoring of Node dependencies used by Normandy client,improve vendoring of node dependencies used by normandy client,0,M
9706,106074,Helper App Management,helper app management,1484698,Rename hasFxAccount to usesFirefoxSync in AS Targeting,rename hasfxaccount to usesfirefoxsync in as targeting,0,M
22396,142179,"Cookie Manager: sort ""Cookie Sites"" should sort by Domain (TLD -> left, as labels, not strings, etc.)",cookie manager  sort  cookie sites  should sort by domain  tld    left  as labels  not strings  etc  ,1365647,Ensure that the height of panel views does not shrink smaller that of the main view,ensure that the height of panel views does not shrink smaller that of the main view,0,M
51430,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1562277,Pocket New Tab - Revisit spoc dismissal flow,pocket new tab   revisit spoc dismissal flow,0,M
19553,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1355923,[UX] Save to Pocket should have an associated animation, ux  save to pocket should have an associated animation,0,M
32866,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1440777,Add support for local actions and implement console-log as a local action,add support for local actions and implement console log as a local action,0,M
39975,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1355451,Speculatively connect to websites on mousedown on an awesomebar item,speculatively connect to websites on mousedown on an awesomebar item,0,M
22696,191000,[RFE] allow users to override mime type for gz and other suffixes, rfe  allow users to override mime type for gz and other suffixes,1520973,certificate error page doesn't properly handle certificates with no valid names,certificate error page doesn t properly handle certificates with no valid names,0,M
4055,191000,[RFE] allow users to override mime type for gz and other suffixes, rfe  allow users to override mime type for gz and other suffixes,1354128,Add 'Web Developer' button to static hamburger menu,add  web developer  button to static hamburger menu,0,M
49705,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1384841,Match the style of the UITour highlights with Photon style guide,match the style of the uitour highlights with photon style guide,0,M
45265,142179,"Cookie Manager: sort ""Cookie Sites"" should sort by Domain (TLD -> left, as labels, not strings, etc.)",cookie manager  sort  cookie sites  should sort by domain  tld    left  as labels  not strings  etc  ,1426627,Typing in the urlbar loads 3 sync modules even when sync isn't enabled,typing in the urlbar loads 3 sync modules even when sync isn t enabled,0,M
823,106074,Helper App Management,helper app management,1472197,Security Review: Return-to-AMO,security review  return to amo,0,M
13225,106074,Helper App Management,helper app management,1542868,[meta] Preferences for Discovery Stream in Firefox 68, meta  preferences for discovery stream in firefox 68,0,M
6821,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1471263,Re-enable the test_show_field_specific_error_on_addresschange test in browser_shippingaddresschange_error.js,re enable the test show field specific error on addresschange test in browser shippingaddresschange error js,0,M
31557,106074,Helper App Management,helper app management,1573930,Concerns around pref structure for 69 Discovery Stream launch,concerns around pref structure for 69 discovery stream launch,0,M
7957,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1354140,[UX] Provide design spec for customize mode, ux  provide design spec for customize mode,0,M
56637,191000,[RFE] allow users to override mime type for gz and other suffixes, rfe  allow users to override mime type for gz and other suffixes,1469072,Add infrastructure to move Activity Stream into its own content process,add infrastructure to move activity stream into its own content process,0,M
55864,106074,Helper App Management,helper app management,1355377,Add a test to check history views update favicons when notified,add a test to check history views update favicons when notified,0,M
43005,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1355456,Investigate preparing the next tab on mousedown on the tab close button,investigate preparing the next tab on mousedown on the tab close button,0,M
56473,106074,Helper App Management,helper app management,1361287,Show automigration description on the activity stream page,show automigration description on the activity stream page,0,M
41463,115041,support %u in mailcap helpers,support  u in mailcap helpers,1459687,move SCSS files for exporting so they can be built by node in-tree,move scss files for exporting so they can be built by node in tree,0,M
25511,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1496476,"""uncaught exception: Unrecognized urlbar event: TabSelect"" when opening a tab", uncaught exception  unrecognized urlbar event  tabselect  when opening a tab,0,M
34158,115041,support %u in mailcap helpers,support  u in mailcap helpers,1357348,Add performance section and the UI component for content process count setting,add performance section and the ui component for content process count setting,0,M
11951,115041,support %u in mailcap helpers,support  u in mailcap helpers,982323,Breakdown:  Avoid shifting the page when toolbars appear or disappear,breakdown   avoid shifting the page when toolbars appear or disappear,0,M
17422,115041,support %u in mailcap helpers,support  u in mailcap helpers,1356479,"[User Story] [Overlay] [Tour Experiment] As a user, I want to learn what I can do with ""Add-ons""", user story   overlay   tour experiment  as a user  i want to learn what i can do with  add ons ,0,M
36789,115041,support %u in mailcap helpers,support  u in mailcap helpers,1476616,SessionStore.setTabState should serialize principals,sessionstore settabstate should serialize principals,0,M
44581,106074,Helper App Management,helper app management,1521702,Hook up autofill with URL canonization,hook up autofill with url canonization,0,M
