,req1Id,req1,req1Product,req1Type,req2Id,req2,req2Product,req2Type,BinaryClass,MultiClass
12332,1433177,[Meta] New bookmark sync,Firefox,enhancement,1433827,Work out best way to have TPS exercise structured bookmark application,Firefox,enhancement,1,requires
12333,1433177,[Meta] New bookmark sync,Firefox,enhancement,1434800,Don't treat children moved out of a deleted synced folder as orphans,Firefox,enhancement,1,requires
12334,1433177,[Meta] New bookmark sync,Firefox,enhancement,1435553,Compare synced folder timestamps to determine the base order,Firefox,enhancement,1,requires
12335,1433177,[Meta] New bookmark sync,Firefox,enhancement,1435588,Override `applyIncomingBatch` in the buffered bookmarks engine to insert all incoming records at once,Firefox,enhancement,1,requires
12336,1433177,[Meta] New bookmark sync,Firefox,enhancement,1436215,Remove expensive left joins and cascading text foreign key deletes from the mirror,Firefox,enhancement,1,requires
12337,1433177,[Meta] New bookmark sync,Firefox,enhancement,1436837,Always prefer the local value state for synced roots,Firefox,enhancement,1,requires
12338,1433177,[Meta] New bookmark sync,Firefox,enhancement,1440116,Bookmark merger should submit fewer telemetry events,Firefox,enhancement,1,requires
12339,1433177,[Meta] New bookmark sync,Firefox,enhancement,1443388,Mirror should omit `folderName` for non-tag queries,Firefox,enhancement,1,requires
12340,1433177,[Meta] New bookmark sync,Firefox,enhancement,1443619,Ignore items already flagged for explicit weak upload with older creation dates,Firefox,enhancement,1,requires
12341,1433177,[Meta] New bookmark sync,Firefox,enhancement,1451152,Add telemetry for the size of the mirror database,Firefox,enhancement,1,requires
12343,1433177,[Meta] New bookmark sync,Firefox,enhancement,1461009,Rework bookmarks mirror event telemetry,Firefox,enhancement,1,requires
12344,1433177,[Meta] New bookmark sync,Firefox,enhancement,1463938,First mirror sync will invalidate frecencies for all synced bookmark URLs,Firefox,enhancement,1,requires
12346,1433177,[Meta] New bookmark sync,Firefox,enhancement,1473382,Ensure the mirror correctly fires change notifications for livemark annos,Firefox,enhancement,1,requires
12347,1433177,[Meta] New bookmark sync,Firefox,enhancement,1478918,Inflate outgoing records and record observer info outside the bookmarks mirror's merge transaction,Firefox,enhancement,1,requires
12348,1433177,[Meta] New bookmark sync,Firefox,enhancement,1478922,Stage bookmark tags to upload in a separate table instead of using a subquery,Firefox,enhancement,1,requires
12349,1433177,[Meta] New bookmark sync,Firefox,enhancement,1482608,Ship a Rust bookmark merger on Desktop,Firefox,enhancement,1,requires
12350,1433177,[Meta] New bookmark sync,Firefox,enhancement,1496878,Ensure the bookmark merger flags newer locally moved children for reupload,Firefox,enhancement,1,requires
12351,1433177,[Meta] New bookmark sync,Firefox,enhancement,1506287,Check changed flags when merging child lists for local and remote nodes,Firefox,enhancement,1,requires
12352,1433177,[Meta] New bookmark sync,Firefox,enhancement,1515784,Consider reuploading inconsistent bookmarks immediately after a sync,Firefox,enhancement,1,requires
12354,1433177,[Meta] New bookmark sync,Firefox,enhancement,1548884,Enable the synced bookmarks mirror on Nightly and Beta,Firefox,enhancement,1,requires
12356,1433177,[Meta] New bookmark sync,Firefox,enhancement,1449730,Remove the non-mirror bookmarks engine,Firefox,enhancement,1,blocks
12357,1433199,"""View more"" for each section",Firefox,enhancement,1444500,Add an about:library page Firefox,Firefox,enhancement,1,requires
12358,1433199,"""View more"" for each section",Firefox,enhancement,1444483,[META] Library View,Firefox,enhancement,1,blocks
12359,1433231,Add synced tabs to Highlights,Firefox,enhancement,1446395,Assign context menus in Highlights on a per card type basis,Firefox,enhancement,1,requires
12360,1433231,Add synced tabs to Highlights,Firefox,enhancement,1432586,[META] Weighted Highlights,Firefox,enhancement,1,blocks
12361,1433231,Add synced tabs to Highlights,Firefox,enhancement,1459288,[META] Better Highlights,Firefox,enhancement,1,blocks
12362,1433232,Add videos (watched / watch later) to Highlights,Firefox,enhancement,1446395,Assign context menus in Highlights on a per card type basis,Firefox,enhancement,1,requires
12363,1433232,Add videos (watched / watch later) to Highlights,Firefox,enhancement,1432586,[META] Weighted Highlights,Firefox,enhancement,1,blocks
12364,1433252,Add potentially shared links to Highlights,Firefox,enhancement,1446395,Assign context menus in Highlights on a per card type basis,Firefox,enhancement,1,requires
12365,1433252,Add potentially shared links to Highlights,Firefox,enhancement,1432586,[META] Weighted Highlights,Firefox,enhancement,1,blocks
12462,1435780,[Meta] Firefox launcher process,Firefox,enhancement,1460434,Test bootstrap process against RunAsAdmin compat shim,Firefox,enhancement,1,requires
12463,1435780,[Meta] Firefox launcher process,Firefox,enhancement,1485481,Launcher process: Add support for two-element DWORD64 array to ProcThreadAttributes,Firefox,enhancement,1,requires
12465,1435780,[Meta] Firefox launcher process,Firefox,enhancement,1530541,[meta] Improvements to Launcher Process failure rate,Firefox,enhancement,1,requires
12470,1435780,[Meta] Firefox launcher process,Firefox,enhancement,1454745,Skeletal bootstrap process,Firefox,enhancement,1,requires
12471,1435780,[Meta] Firefox launcher process,Firefox,enhancement,1460433,Implement failure logging for bootstrap process,Firefox,enhancement,1,requires
12472,1435780,[Meta] Firefox launcher process,Firefox,enhancement,1460995,Bootstrap process: CreateProcess call failing on Windows 7,Firefox,enhancement,1,requires
12474,1435780,[Meta] Firefox launcher process,Firefox,enhancement,1462187,Bootstrap process using incorrect version for PreferSystem32 mitigation policy,Firefox,enhancement,1,requires
12478,1435780,[Meta] Firefox launcher process,Firefox,enhancement,1475067,Bootstrap process: Faster processing of UNICODE_STRINGs in blocklist,Firefox,enhancement,1,requires
12479,1435780,[Meta] Firefox launcher process,Firefox,enhancement,1477790,Add the ability for firefox.exe to use the launcher process by default,Firefox,enhancement,1,requires
12480,1435780,[Meta] Firefox launcher process,Firefox,enhancement,1479057,Launcher process: Improved sanity checks in nt::PEHeaders,Firefox,enhancement,1,requires
12481,1435780,[Meta] Firefox launcher process,Firefox,enhancement,1481546,[meta] Let the Windows launcher process ride the trains,Firefox,enhancement,1,requires
12483,1435780,[Meta] Firefox launcher process,Firefox,enhancement,1481958,Add binary version checking to TestNativeNt,Firefox,enhancement,1,requires
12485,1435780,[Meta] Firefox launcher process,Firefox,enhancement,1486901,Browser restarts should use launcher process when --enable-launcher-process is set,Firefox,enhancement,1,requires
12486,1435780,[Meta] Firefox launcher process,Firefox,enhancement,1488546,Skip safe mode keypress checks in launcher process,Firefox,enhancement,1,requires
12487,1435780,[Meta] Firefox launcher process,Firefox,enhancement,1488554,Enable the launcher process by default on Nightly,Firefox,enhancement,1,requires
12489,1435780,[Meta] Firefox launcher process,Firefox,enhancement,1495039,Launcher process: Add MOZ_DEBUG_CHILD_PROCESS equivalent to browser process,Firefox,enhancement,1,requires
12490,1435780,[Meta] Firefox launcher process,Firefox,enhancement,1495628,Launcher process: Consider --disable-e10s to also disable the launcher process in local builds,Firefox,enhancement,1,requires
12491,1435780,[Meta] Firefox launcher process,Firefox,enhancement,1495629,Prepare patches for temporary disabling of launcher process,Firefox,enhancement,1,requires
12494,1435780,[Meta] Firefox launcher process,Firefox,enhancement,1435790,[Meta] Enhanced safe mode,Firefox,enhancement,1,blocks
12509,1435878,Handle navigations away from a page showing a Payment Request tab-modal dialog,Firefox,enhancement,1433047,[meta] Create the tab-modal Payment Request widget,Firefox,enhancement,1,blocks
12510,1435884,Accessibility review of the Payment Request tab overlay widget,Firefox,enhancement,1435882,Handle keyboard shortcuts (e.g. ESC) & focus in the Payment Request tab overlay widget,Firefox,enhancement,1,requires
12511,1435884,Accessibility review of the Payment Request tab overlay widget,Firefox,enhancement,1433047,[meta] Create the tab-modal Payment Request widget,Firefox,enhancement,1,blocks
12512,1435915,Migrate Preferences::General JS to .ftl,Firefox,enhancement,1508156,Use fluent for the default application choice section of about:preferences,Firefox,enhancement,1,requires
12515,1435915,Migrate Preferences::General JS to .ftl,Firefox,enhancement,1424681,"[tracking] Migrate the ""General"" section of Preferences to the new Localization API",Firefox,enhancement,1,blocks
12517,1436111,Ship system add-ons with Normandy,Firefox,enhancement,1440777,Add support for local actions and implement console-log as a local action,Firefox,enhancement,1,requires
12780,1437478,Store a 512*512 Firefox icon on hg.mozilla.org,Firefox,enhancement,1415014,Move mozicon128.png from browser/icons to browser/chrome/icons/default,Firefox,enhancement,1,requires
12783,1437659,[META] Reduce Backlog,Firefox,enhancement,1422882,Difficult to delete the google website from top sites when there's multiple search result pages,Firefox,enhancement,1,requires
12784,1437659,[META] Reduce Backlog,Firefox,enhancement,1432306,Implement restore all for blocked sites,Firefox,enhancement,1,requires
12785,1437659,[META] Reduce Backlog,Firefox,enhancement,1437494,Add 2 more Default Top Sites in wide view,Firefox,enhancement,1,requires
12786,1437659,[META] Reduce Backlog,Firefox,enhancement,1448356,Implement rest of load_trigger_type telemetry for newtab,Firefox,enhancement,1,requires
12787,1437659,[META] Reduce Backlog,Firefox,enhancement,1448358,"Fix accessibility issues of migration, context menu, sections",Firefox,enhancement,1,requires
12788,1437659,[META] Reduce Backlog,Firefox,enhancement,1385306,Make Activity Stream unprivileged: ensure about:newtab document runs with null principal,Firefox,enhancement,1,requires
12789,1437659,[META] Reduce Backlog,Firefox,enhancement,1385944,Support wider layout to load more than 6 top sites or 3 stories / highlights,Firefox,enhancement,1,requires
12790,1437659,[META] Reduce Backlog,Firefox,enhancement,1404890,Move new tab settings for sections to about:preferences,Firefox,enhancement,1,requires
12791,1437659,[META] Reduce Backlog,Firefox,enhancement,1409054,Properly get rid of old about:home,Firefox,enhancement,1,requires
12792,1437659,[META] Reduce Backlog,Firefox,enhancement,1417155,Add new Home / New Tab page preference section for default / blank / custom / add-on,Firefox,enhancement,1,requires
12793,1437659,[META] Reduce Backlog,Firefox,enhancement,1421904,Collect a more precise timestamp for each event,Firefox,enhancement,1,requires
12794,1437659,[META] Reduce Backlog,Firefox,enhancement,1425496,Add Recently Pocketed Items to Highlights,Firefox,enhancement,1,requires
12795,1437659,[META] Reduce Backlog,Firefox,enhancement,1433133,Make Activity Stream the only built in page for Home and New Tab,Firefox,enhancement,1,requires
12796,1437659,[META] Reduce Backlog,Firefox,enhancement,1433315,[meta] [EPIC] Activity Stream,Firefox,enhancement,1,blocks
12801,1438147,Investigate improving SiteDataManager richlistbox performance,Firefox,enhancement,1421737,Include cookies in the site data manager,Firefox,enhancement,1,requires
12802,1438147,Investigate improving SiteDataManager richlistbox performance,Firefox,enhancement,1451412,Use a documentFragment to build the site data list,Firefox,enhancement,1,requires
12803,1438147,Investigate improving SiteDataManager richlistbox performance,Firefox,enhancement,1421690,[meta] Storage (Site Data and Cookies) Management V2,Firefox,enhancement,1,blocks
12804,1438305,Figure out Migration (manual and auto) story with activity stream,Firefox,enhancement,1433324,Remove browser.newtabpage.activity-stream.enabled and browser.newtabpage.activity-stream.aboutHome.enabled prefs,Firefox,enhancement,1,requires
12805,1438305,Figure out Migration (manual and auto) story with activity stream,Firefox,enhancement,1444980,[META] Customization,Firefox,enhancement,1,blocks
12862,1440056,Register about:studies in the more usual way,Firefox,enhancement,1442712,Re-enable about_studies tests,Firefox,enhancement,1,blocks
12919,1442188,"Add automated test for ""The items from the Bookmarks Toolbar can be sorted by name""",Firefox,enhancement,1419383,[meta] Add automated tests for Bookmarks functionality,Firefox,enhancement,1,blocks
12920,1442203,[meta] Improve cert error pages,Firefox,enhancement,1195478,"""Server not found"" error message should check network offline state and have a more generic ""you're not connected to the internet"" message if there is no network",Firefox,enhancement,1,requires
12921,1442203,[meta] Improve cert error pages,Firefox,enhancement,1362079,Display a more helpful error when a SSL handshake fails due to a client certificate,Firefox,enhancement,1,requires
12923,1442203,[meta] Improve cert error pages,Firefox,enhancement,1437498,Gracefully handle recently expired certificates,Firefox,enhancement,1,requires
12924,1442203,[meta] Improve cert error pages,Firefox,enhancement,1484955,Switch about:neterror and about:certerror to use Fluent,Firefox,enhancement,1,requires
12925,1442203,[meta] Improve cert error pages,Firefox,enhancement,1497279,Check browser.xul.error_pages.expert_bad_cert in front-end code instead of nsDocShell.cpp,Firefox,enhancement,1,requires
12926,1442203,[meta] Improve cert error pages,Firefox,enhancement,1500464,Hide local system clock message if update ping date matches the current date,Firefox,enhancement,1,requires
12927,1442203,[meta] Improve cert error pages,Firefox,enhancement,1531042,Show a notification box that reminds users that they are visiting a site with a broken cert,Firefox,enhancement,1,requires
12928,1442203,[meta] Improve cert error pages,Firefox,enhancement,1532322,Link to isitdownrightnow.com from connection error page,Firefox,enhancement,1,requires
12929,1442203,[meta] Improve cert error pages,Firefox,enhancement,1538644,Consider using a separate domain for MitM priming,Firefox,enhancement,1,requires
12930,1442203,[meta] Improve cert error pages,Firefox,enhancement,1544564,[meta] Improve cert error code,Firefox,enhancement,1,requires
12931,1442203,[meta] Improve cert error pages,Firefox,enhancement,1546625,Improve potentially confusing date format on cert error pages,Firefox,enhancement,1,requires
12932,1442203,[meta] Improve cert error pages,Firefox,enhancement,1414804,"Fix test for expired certificate ""helpful"" messaging to users with broken system clocks",Firefox,enhancement,1,requires
12934,1442203,[meta] Improve cert error pages,Firefox,enhancement,1450784,Add a new error page for MOZILLA_PKIX_ERROR_MITM_DETECTED,Firefox,enhancement,1,requires
12935,1442203,[meta] Improve cert error pages,Firefox,enhancement,1463693,[tracking] New certificate error page design and copy,Firefox,enhancement,1,requires
12936,1442203,[meta] Improve cert error pages,Firefox,enhancement,1484246,Add more explanation to certificate errors caused by Symantec distrust,Firefox,enhancement,1,requires
12937,1442203,[meta] Improve cert error pages,Firefox,enhancement,1492498,Make certificate exceptions on the new cert error pages permanent by default,Firefox,enhancement,1,requires
12938,1442203,[meta] Improve cert error pages,Firefox,enhancement,1499326,Remove custom styling for cert error pages with browser.xul.error_pages.expert_bad_cert,Firefox,enhancement,1,requires
12940,1442203,[meta] Improve cert error pages,Firefox,enhancement,1520973,certificate error page doesn't properly handle certificates with no valid names,Firefox,enhancement,1,requires
12941,1442203,[meta] Improve cert error pages,Firefox,enhancement,1521756,Enable AV MitM certificate error page by default on all channels,Firefox,enhancement,1,requires
12942,1442203,[meta] Improve cert error pages,Firefox,enhancement,1529643,"On certificate error pages, trigger an internal canary request to detect MitM",Firefox,enhancement,1,requires
12943,1442203,[meta] Improve cert error pages,Firefox,enhancement,1530348,"Unfork aboutNetError.{xhtml,css}",Firefox,enhancement,1,requires
12944,1442203,[meta] Improve cert error pages,Firefox,enhancement,1534629,"Non-bypassable cert error pages should use ""Advanced"" instead of ""More information""",Firefox,enhancement,1,requires
12946,1442203,[meta] Improve cert error pages,Firefox,enhancement,1492750,Security testing of the new cert error pages,Firefox,enhancement,1,blocks
12950,1442296,Adapt input and button styling inside popups to look better with themes,Firefox,enhancement,1502731,Remove @hudButton@ and @hudButtonPressed@ and improve bookmark panel styling,Firefox,enhancement,1,requires
12951,1442296,Adapt input and button styling inside popups to look better with themes,Firefox,enhancement,1408121,Dark theme should apply dark colors to Firefox menus,Firefox,enhancement,1,blocks
12957,1442553,[meta] Improve brittle Site Data browser mochitests,Firefox,enhancement,1445188,Move SiteData tests into their own subdirectory,Firefox,enhancement,1,requires
12958,1442553,[meta] Improve brittle Site Data browser mochitests,Firefox,enhancement,1421690,[meta] Storage (Site Data and Cookies) Management V2,Firefox,enhancement,1,blocks
12987,1444483,[META] Library View,Firefox,enhancement,1433199,"""View more"" for each section",Firefox,enhancement,1,requires
12988,1444483,[META] Library View,Firefox,enhancement,1444501,"Add data sources Topsites, Highlights to about:library",Firefox,enhancement,1,requires
12989,1444483,[META] Library View,Firefox,enhancement,1444500,Add an about:library page Firefox,Firefox,enhancement,1,requires
12990,1444483,[META] Library View,Firefox,enhancement,1538424,Add page title to about:library,Firefox,enhancement,1,requires
12991,1444483,[META] Library View,Firefox,enhancement,1433315,[meta] [EPIC] Activity Stream,Firefox,enhancement,1,blocks
12992,1444501,"Add data sources Topsites, Highlights to about:library",Firefox,enhancement,1444500,Add an about:library page Firefox,Firefox,enhancement,1,requires
12993,1444501,"Add data sources Topsites, Highlights to about:library",Firefox,enhancement,1444483,[META] Library View,Firefox,enhancement,1,blocks
13001,1444980,[META] Customization,Firefox,enhancement,1438305,Figure out Migration (manual and auto) story with activity stream,Firefox,enhancement,1,requires
13002,1444980,[META] Customization,Firefox,enhancement,1385944,Support wider layout to load more than 6 top sites or 3 stories / highlights,Firefox,enhancement,1,requires
13003,1444980,[META] Customization,Firefox,enhancement,1400536,Add an option for showing more / fewer rows in New Tab sections,Firefox,enhancement,1,requires
13004,1444980,[META] Customization,Firefox,enhancement,1402654,Allow custom image / thumbnail for an edited top site,Firefox,enhancement,1,requires
13005,1444980,[META] Customization,Firefox,enhancement,1432307,Implement undo/unblock,Firefox,enhancement,1,requires
13006,1444980,[META] Customization,Firefox,enhancement,1432899,Remove the Top Sites edit modal.,Firefox,enhancement,1,requires
13007,1444980,[META] Customization,Firefox,enhancement,1433212,In-page reordering of sections,Firefox,enhancement,1,requires
13008,1444980,[META] Customization,Firefox,enhancement,1458658,Unblock sites that are added,Firefox,enhancement,1,requires
13009,1444980,[META] Customization,Firefox,enhancement,1433315,[meta] [EPIC] Activity Stream,Firefox,enhancement,1,blocks
13015,1445083,[META] Reporting,Firefox,enhancement,1421438,Add Sentry tooling to front-end,Firefox,enhancement,1,requires
13016,1445083,[META] Reporting,Firefox,enhancement,1446146,Implement Sentry client-side rate-limiting to save network bandwidth before riding trains,Firefox,enhancement,1,requires
13017,1445083,[META] Reporting,Firefox,enhancement,1446154,get automatic Sentry source-map uploading for Activity-Stream,Firefox,enhancement,1,requires
13018,1445083,[META] Reporting,Firefox,enhancement,1448356,Implement rest of load_trigger_type telemetry for newtab,Firefox,enhancement,1,requires
13019,1445083,[META] Reporting,Firefox,enhancement,1425494,Use mapping from user events to browsers to set load info,Firefox,enhancement,1,requires
13020,1445083,[META] Reporting,Firefox,enhancement,1438217,Add telemetry for section collapse,Firefox,enhancement,1,requires
13021,1445083,[META] Reporting,Firefox,enhancement,1438239,Using unknown telemetry event pings,Firefox,enhancement,1,requires
13022,1445083,[META] Reporting,Firefox,enhancement,1438311,Reevaluate whether AS_ENABLED ping is desired,Firefox,enhancement,1,requires
13023,1445083,[META] Reporting,Firefox,enhancement,1446142,"ensure we're set up to include Activity Stream ""secret DSN"" in public AS source code",Firefox,enhancement,1,requires
13024,1445083,[META] Reporting,Firefox,enhancement,1433315,[meta] [EPIC] Activity Stream,Firefox,enhancement,1,blocks
13025,1445085,[META] Thumbnails,Firefox,enhancement,1432330,Adjust the size of screenshots to reduce processing unnecessarily large ones,Firefox,enhancement,1,requires
13026,1445085,[META] Thumbnails,Firefox,enhancement,1449062,Avoid requesting thumbnails if a rich icon might be found,Firefox,enhancement,1,requires
13027,1445085,[META] Thumbnails,Firefox,enhancement,1452388,PageThumbs spends an appreciable amount of time on the main thread,Firefox,enhancement,1,requires
13028,1445085,[META] Thumbnails,Firefox,enhancement,1453448,Capture thumbnails with safe browsing always enabled,Firefox,enhancement,1,requires
13029,1445085,[META] Thumbnails,Firefox,enhancement,1449294,Capture thumbnails with tracking protection always enabled,Firefox,enhancement,1,requires
13030,1445085,[META] Thumbnails,Firefox,enhancement,1433315,[meta] [EPIC] Activity Stream,Firefox,enhancement,1,blocks
13131,1446154,get automatic Sentry source-map uploading for Activity-Stream,Firefox,enhancement,1445083,[META] Reporting,Firefox,enhancement,1,blocks
13132,1446164,Use Fluent in autofill edit dialogs so they can be localized when used in the unprivileged PaymentRequest dialog,Firefox,enhancement,1473772,Use Fluent for the PaymentRequest dialog,Firefox,enhancement,1,requires
13136,1446164,Use Fluent in autofill edit dialogs so they can be localized when used in the unprivileged PaymentRequest dialog,Firefox,enhancement,1463292,Make form autofill's l10n.js work in the PaymentRequest dialog until we have Fluent,Firefox,enhancement,1,requires
13137,1446164,Use Fluent in autofill edit dialogs so they can be localized when used in the unprivileged PaymentRequest dialog,Firefox,enhancement,1427951,[meta] Payment Request Shipping/Contact Address Add/Edit page,Firefox,enhancement,1,blocks
13138,1446164,Use Fluent in autofill edit dialogs so they can be localized when used in the unprivileged PaymentRequest dialog,Firefox,enhancement,1427953,[meta] Payment Request Basic (Credit/Debit) Card Add/Edit page,Firefox,enhancement,1,blocks
13139,1446164,Use Fluent in autofill edit dialogs so they can be localized when used in the unprivileged PaymentRequest dialog,Firefox,enhancement,1451579,[tracking][meta] Migrate subdialogs to Fluent,Firefox,enhancement,1,blocks
13193,1446577,[meta] <rich-select> UI/UX polish,Firefox,enhancement,1463545,Replace grid layout of <rich-option> subclasses with new UI spec,Firefox,enhancement,1,requires
13194,1446577,[meta] <rich-select> UI/UX polish,Firefox,enhancement,1463554,Use native <option> UI with <rich-select> in the open state,Firefox,enhancement,1,requires
13195,1446577,[meta] <rich-select> UI/UX polish,Firefox,enhancement,1422164,Create a rich-select Custom Element,Firefox,enhancement,1,blocks
13215,1448356,Implement rest of load_trigger_type telemetry for newtab,Firefox,enhancement,1425494,Use mapping from user events to browsers to set load info,Firefox,enhancement,1,requires
13216,1448356,Implement rest of load_trigger_type telemetry for newtab,Firefox,enhancement,1437659,[META] Reduce Backlog,Firefox,enhancement,1,blocks
13217,1448356,Implement rest of load_trigger_type telemetry for newtab,Firefox,enhancement,1445083,[META] Reporting,Firefox,enhancement,1,blocks
13249,1449730,Remove the non-mirror bookmarks engine,Firefox,enhancement,1433177,[Meta] New bookmark sync,Firefox,enhancement,1,requires
13250,1449730,Remove the non-mirror bookmarks engine,Firefox,enhancement,1414435,Remove `_defaultSort` from the bookmarks engine,Firefox,enhancement,1,blocks
13258,1449974,[META] Reminder / Pins,Firefox,enhancement,1433213,Allow pinning the current page to new tab from page action menu,Firefox,enhancement,1,requires
13259,1449974,[META] Reminder / Pins,Firefox,enhancement,1433315,[meta] [EPIC] Activity Stream,Firefox,enhancement,1,blocks
13547,1453448,Capture thumbnails with safe browsing always enabled,Firefox,enhancement,1445085,[META] Thumbnails,Firefox,enhancement,1,blocks
13557,1454225,"Add icons to ""View/Hide Bookmarks Toolbar"" and ""View/Hide Bookmarks Sidebar"" items",Firefox,enhancement,1352110,"[meta] Create a library button to show Recent Bookmarks, Recent Downloads, History, Synced Tabs, Screenshots, and Pocket List",Firefox,enhancement,1,blocks
13591,1455264,Consolidate logic for owner/relatedTab/relatedToCurrent/aOpenerBrowser for tabs,Firefox,enhancement,1475606,Extend addTab to allow selecting a tab and remove the loadOneTab() API,Firefox,enhancement,1,requires
13661,1455684,Have highlight card actions respect highlights options,Firefox,enhancement,1432595,Add section in prefs to turn off parts of Highlights,Firefox,enhancement,1,requires
13662,1455684,Have highlight card actions respect highlights options,Firefox,enhancement,1432586,[META] Weighted Highlights,Firefox,enhancement,1,blocks
13699,1456785,QA tracker for Preference Roll-out,Firefox,enhancement,1459920,Rollout applies again on graduated preferences,Firefox,enhancement,1,requires
13700,1456785,QA tracker for Preference Roll-out,Firefox,enhancement,1440782,Add preference-rollout internal action,Firefox,enhancement,1,blocks
13771,1457131,Investigate if we can remove itemId (aka parentId) from PlacesInsertionPoint,Firefox,enhancement,1382992,Figure out what do to with canDrop() with respect to sync vs async,Firefox,enhancement,1,requires
13785,1457565,[META] Onboarding / First Run,Firefox,enhancement,1477771,4 extension cards to test in a SHIELD experiment (for engagement and retention),Firefox,enhancement,1,requires
13786,1457565,[META] Onboarding / First Run,Firefox,enhancement,1510358,Onboarding Opt-out Experiment:  Test if moving FxA call-to-action to Simplified Onboarding flow improves retention,Firefox,enhancement,1,requires
13787,1457565,[META] Onboarding / First Run,Firefox,enhancement,1571457,"The Search Bar is no longer ""stuck"" to the top when scrolling down the page when the Extended Triplets are displayed",Firefox,enhancement,1,requires
13788,1457565,[META] Onboarding / First Run,Firefox,enhancement,1571670,The “Dismiss” button from the Extended triplets does not have a hover effect with the Default theme enabled,Firefox,enhancement,1,requires
13789,1457565,[META] Onboarding / First Run,Firefox,enhancement,1432676,Create AS Router UI surface / template for Onboarding overlay,Firefox,enhancement,1,requires
13790,1457565,[META] Onboarding / First Run,Firefox,enhancement,1433217,Create Onboarding message provider,Firefox,enhancement,1,requires
13791,1457565,[META] Onboarding / First Run,Firefox,enhancement,1448918,Migrate Firefox Desktop's first run experience from a web page to an in-product experience,Firefox,enhancement,1,requires
13792,1457565,[META] Onboarding / First Run,Firefox,enhancement,1449651,Apply dark theme style to onboarding overlay and icon,Firefox,enhancement,1,requires
13793,1457565,[META] Onboarding / First Run,Firefox,enhancement,1450809,"Make ""Photon Onboarding"" something other than a bootstrapped extension",Firefox,enhancement,1,requires
13794,1457565,[META] Onboarding / First Run,Firefox,enhancement,1452216,Launch the onboarding tour on the first opened new tab,Firefox,enhancement,1,requires
13795,1457565,[META] Onboarding / First Run,Firefox,enhancement,1456141,Document exact targeting/frequency parameters for Onboarding experiment,Firefox,enhancement,1,requires
13796,1457565,[META] Onboarding / First Run,Firefox,enhancement,1456496,dark theme for onboarding snippets,Firefox,enhancement,1,requires
13797,1457565,[META] Onboarding / First Run,Firefox,enhancement,1462415,Delete onboarding system add-on,Firefox,enhancement,1,requires
13798,1457565,[META] Onboarding / First Run,Firefox,enhancement,1473124,Request to change existing onboarding tour to show up automatically on first newtab,Firefox,enhancement,1,requires
13800,1457565,[META] Onboarding / First Run,Firefox,enhancement,1476453,Localize onboarding,Firefox,enhancement,1,requires
13801,1457565,[META] Onboarding / First Run,Firefox,enhancement,1476684,"Onboarding shouldn't be affected by snippets, experiment prefs",Firefox,enhancement,1,requires
13802,1457565,[META] Onboarding / First Run,Firefox,enhancement,1477766,Display Simplified Onboarding Tour Cards in specific order,Firefox,enhancement,1,requires
13803,1457565,[META] Onboarding / First Run,Firefox,enhancement,1480186,Allow the sending of client_id for experiments with category <= 2 data,Firefox,enhancement,1,requires
13804,1457565,[META] Onboarding / First Run,Firefox,enhancement,1482134,Add client_id to onboarding telemetry in Activity Stream Router,Firefox,enhancement,1,requires
13805,1457565,[META] Onboarding / First Run,Firefox,enhancement,1484039,Support ASR providers via remote settings bucket,Firefox,enhancement,1,requires
13806,1457565,[META] Onboarding / First Run,Firefox,enhancement,1492216,Land Onboarding Strings,Firefox,enhancement,1,requires
13807,1457565,[META] Onboarding / First Run,Firefox,enhancement,1495546,Localization fails in OnboardingMessageProvider if we've already localized strings before,Firefox,enhancement,1,requires
13808,1457565,[META] Onboarding / First Run,Firefox,enhancement,1496721,Flip the pref to turn simplified onboarding on,Firefox,enhancement,1,requires
13809,1457565,[META] Onboarding / First Run,Firefox,enhancement,1501817,Create FxA onboarding card,Firefox,enhancement,1,requires
13810,1457565,[META] Onboarding / First Run,Firefox,enhancement,1502140,Land FxA Onboarding Card Strings,Firefox,enhancement,1,requires
13811,1457565,[META] Onboarding / First Run,Firefox,enhancement,1503912,Use the correct FxA url in new Onboarding card,Firefox,enhancement,1,requires
13812,1457565,[META] Onboarding / First Run,Firefox,enhancement,1503947,Add a function to FxAccountsConfig to return the correct url for onboarding fxa card,Firefox,enhancement,1,requires
13813,1457565,[META] Onboarding / First Run,Firefox,enhancement,1433315,[meta] [EPIC] Activity Stream,Firefox,enhancement,1,blocks
13814,1457565,[META] Onboarding / First Run,Firefox,enhancement,1538729,[META] Message System Router,Firefox,enhancement,1,blocks
13818,1457567,[META] Web Extension,Firefox,enhancement,1460377,Hide Manage Section option for Web Extension sections and show Manage Extension,Firefox,enhancement,1,requires
13819,1457567,[META] Web Extension,Firefox,enhancement,1433315,[meta] [EPIC] Activity Stream,Firefox,enhancement,1,blocks
13820,1457572,[META] Build Process,Firefox,enhancement,1459690,float prototype JSX->bundle build,Firefox,enhancement,1,requires
13821,1457572,[META] Build Process,Firefox,enhancement,1459770,cleanup/land bundling AS in mc using webpack,Firefox,enhancement,1,requires
13822,1457572,[META] Build Process,Firefox,enhancement,1459771,get SCSS building using PostSCSS / PreCSS,Firefox,enhancement,1,requires
13823,1457572,[META] Build Process,Firefox,enhancement,1459773,[meta] make unit tests run in mozilla-central automation,Firefox,enhancement,1,requires
